sRGB_R,sRGB_G,sRGB_B,RGB_R,RGB_G,RGB_B,HSV_H,HSV_S,HSV_V,HSL_H,HSL_S,HSL_L,CMY_C,CMY_M,CMY_Y,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CIERGB_R,CIERGB_G,CIERGB_B,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,CIELuv_L,CIELuv_u,CIELuv_v,CIELab_L,CIELab_a,CIELab_b,CIELCh_L,CIELCh_C,CIELCh_h
63,159,95,0.24705882,0.62352943,0.37254903,140.0,0.6037736,0.62352943,140.0,0.43243244,0.43529412,0.7529412,0.3764706,0.627451,0.6037736,0.0,0.4025157,0.3764706,0.08057456,0.30888072,0.14946654,0.16512786,0.2667828,0.15106069,0.28325212,0.45762593,0.2667828,58.67535,-50.490597,24.123358,58.67535,-44.2127,15.189538,58.67535,46.749172,161.03954
63,159,127,0.24705882,0.62352943,0.49803922,160.0,0.6037736,0.62352943,160.0,0.43243244,0.43529412,0.7529412,0.3764706,0.5019608,0.6037736,0.0,0.20125785,0.3764706,0.07246979,0.3181092,0.24326995,0.18277805,0.27384287,0.24401835,0.26087326,0.39084718,0.27384287,59.328354,-49.045795,2.0330577,59.328354,-37.467327,-3.3692071,59.328354,37.618507,185.13844
63,159,159,0.24705882,0.62352943,0.62352943,180.0,0.6037736,0.62352943,180.0,0.43243244,0.43529412,0.7529412,0.3764706,0.3764706,0.6037736,0.0,0.0,0.3764706,0.061325364,0.33079886,0.37225407,0.2070479,0.2835508,0.37183952,0.24007273,0.3287781,0.2835508,60.208183,-47.452892,-23.788921,60.208183,-29.071404,-21.93788,60.208183,36.42001,217.03896
63,159,191,0.24705882,0.62352943,0.7490196,195.0,0.6701571,0.7490196,195.0,0.503937,0.49803922,0.7529412,0.3764706,0.2509804,0.6701571,0.16753927,0.0,0.2509804,0.046881013,0.34724596,0.5394311,0.23850416,0.2961333,0.5375092,0.22245479,0.27620596,0.2961333,61.319153,-45.884094,-51.463356,61.319153,-19.40606,-40.06125,61.319153,44.51403,244.154
63,159,223,0.24705882,0.62352943,0.8745098,204.0,0.71748877,0.8745098,204.0,0.71428573,0.56078434,0.7529412,0.3764706,0.1254902,0.71748877,0.28699553,0.0,0.1254902,0.028904269,0.36771527,0.74749154,0.27765313,0.3117929,0.74369377,0.20827007,0.23387863,0.3117929,62.658695,-44.47424,-79.46442,62.658695,-8.869203,-57.56817,62.658695,58.247375,261.24164
63,159,255,0.24705882,0.62352943,1.0,210.0,0.7529412,1.0,210.0,1.0,0.62352943,0.7529412,0.3764706,0.0,0.7529412,0.3764706,0.0,0.0,0.007183681,0.39244747,0.9988827,0.32495525,0.33071375,0.99281836,0.19712329,0.2006165,0.33071375,64.21866,-43.306805,-106.78718,64.21866,2.1827152,-74.40898,64.21866,74.44099,271.68024
63,191,0,0.24705882,0.7490196,0.0,100.20943,1.0,0.7490196,100.20943,1.0,0.3745098,0.7529412,0.2509804,1.0,0.6701571,0.0,1.0,0.2509804,0.11595445,0.44561738,0.059196614,0.20679839,0.38316926,0.06306082,0.3166759,0.58675736,0.38316926,68.25355,-66.11622,64.99591,68.25355,-63.87002,60.392532,68.25355,87.9013,136.60301
63,191,31,0.24705882,0.7490196,0.12156863,108.0,0.8376963,0.7490196,108.0,0.7207207,0.43529412,0.7529412,0.2509804,0.8784314,0.6701571,0.0,0.8376963,0.2509804,0.11481889,0.44691038,0.07233938,0.20927136,0.38415846,0.07608509,0.31257161,0.57378626,0.38415846,68.32599,-65.856865,61.806023,68.32599,-62.99398,55.036034,68.32599,83.64931,138.85722
63,191,63,0.24705882,0.7490196,0.24705882,120.0,0.6701571,0.7490196,120.0,0.503937,0.49803922,0.7529412,0.2509804,0.7529412,0.6701571,0.0,0.6701571,0.2509804,0.11183503,0.45030797,0.106874175,0.21576947,0.3867577,0.11030851,0.30269173,0.5425622,0.3867577,68.51575,-65.199455,53.66735,68.51575,-60.733463,43.454567,68.51575,74.67833,144.41643
63,191,95,0.24705882,0.7490196,0.37254903,135.0,0.6701571,0.7490196,135.0,0.503937,0.49803922,0.7529412,0.2509804,0.627451,0.6701571,0.0,0.5026178,0.2509804,0.10647066,0.45641613,0.16896077,0.22745177,0.39143062,0.17183532,0.2876523,0.49503207,0.39143062,68.85477,-64.09902,39.859596,68.85477,-56.812283,27.756361,68.85477,63.23014,153.9616
63,191,127,0.24705882,0.7490196,0.49803922,150.0,0.6701571,0.7490196,150.0,0.503937,0.49803922,0.7529412,0.2509804,0.5019608,0.6701571,0.0,0.33507854,0.2509804,0.098365895,0.46564463,0.2627642,0.24510196,0.3984907,0.26479298,0.2698215,0.43868008,0.3984907,69.36189,-62.611706,20.775429,69.36189,-51.205162,10.251195,69.36189,52.22122,168.67914
63,191,159,0.24705882,0.7490196,0.62352943,165.0,0.6701571,0.7490196,165.0,0.503937,0.49803922,0.7529412,0.2509804,0.3764706,0.6701571,0.0,0.16753927,0.2509804,0.087221466,0.47833428,0.3917483,0.2693718,0.40819862,0.3926142,0.2517059,0.38142824,0.40819862,70.04953,-60.85497,-2.5306153,70.04953,-44.04208,-7.7739887,70.04953,44.72292,190.01033
63,191,191,0.24705882,0.7490196,0.7490196,180.0,0.6701571,0.7490196,180.0,0.503937,0.49803922,0.7529412,0.2509804,0.2509804,0.6701571,0.0,0.0,0.2509804,0.072777115,0.4947814,0.55892533,0.30082807,0.42078114,0.55828387,0.23504157,0.32876274,0.42078114,70.92474,-58.973694,-28.68661,70.92474,-35.556755,-25.705286,70.92474,43.87533,215.86455
63,191,223,0.24705882,0.7490196,0.8745098,192.0,0.71748877,0.8745098,192.0,0.71428573,0.56078434,0.7529412,0.2509804,0.1254902,0.71748877,0.14349777,0.0,0.1254902,0.054800373,0.5152507,0.7669857,0.33997703,0.43644074,0.7644684,0.22063735,0.28324008,0.43644074,71.98995,-57.10759,-56.331783,71.98995,-26.033157,-43.26215,71.98995,50.49098,238.96242
63,191,255,0.24705882,0.7490196,1.0,200.0,0.7529412,1.0,200.0,1.0,0.62352943,0.7529412,0.2509804,0.0,0.7529412,0.2509804,0.0,0.0,0.033079784,0.5399829,1.0,0.38727918,0.45536157,1.013593,0.20863707,0.24531479,0.45536157,73.24354,-55.36919,-84.339264,73.24354,-15.760339,-60.322308,73.24354,62.347168,255.35771
63,223,0,0.24705882,0.8745098,0.0,103.049324,1.0,0.8745098,103.049324,1.0,0.4372549,0.7529412,0.1254902,1.0,0.71748877,0.0,1.0,0.1254902,0.1481835,0.6292329,0.08345819,0.28436375,0.5383,0.08891594,0.31194612,0.59051335,0.5383,78.3625,-78.73594,74.96624,78.3625,-73.91915,67.52277,78.3625,100.11676,137.5893
63,223,31,0.24705882,0.8745098,0.12156863,110.0,0.86098653,0.8745098,110.0,0.7559055,0.49803922,0.7529412,0.1254902,0.8784314,0.71748877,0.0,0.86098653,0.1254902,0.14704794,0.6305259,0.09660096,0.2868367,0.5392892,0.10194021,0.30906928,0.5810892,0.5392892,78.420265,-78.50552,72.34826,78.420265,-73.20615,63.18558,78.420265,96.70345,139.20192
63,223,63,0.24705882,0.8745098,0.24705882,120.0,0.71748877,0.8745098,120.0,0.71428573,0.56078434,0.7529412,0.1254902,0.7529412,0.71748877,0.0,0.71748877,0.1254902,0.14406408,0.6339235,0.13113575,0.2933348,0.5418884,0.13616362,0.30197528,0.55785024,0.5418884,78.57172,-77.9153,65.61306,78.57172,-71.35724,53.356525,78.57172,89.0998,143.21313
63,223,95,0.24705882,0.8745098,0.37254903,132.0,0.71748877,0.8745098,132.0,0.71428573,0.56078434,0.7529412,0.1254902,0.627451,0.71748877,0.0,0.57399106,0.1254902,0.1386997,0.64003164,0.19322234,0.3050171,0.5465613,0.19769044,0.29069492,0.52089727,0.5465613,78.84278,-76.90679,54.002205,78.84278,-68.11941,39.306995,78.84278,78.64664,150.01373
63,223,127,0.24705882,0.8745098,0.49803922,144.0,0.71748877,0.8745098,144.0,0.71428573,0.56078434,0.7529412,0.1254902,0.5019608,0.71748877,0.0,0.43049327,0.1254902,0.13059494,0.6492601,0.28702575,0.3226673,0.5536214,0.2906481,0.27650794,0.47442278,0.5536214,79.249405,-75.50024,37.5699,79.249405,-63.42353,22.979725,79.249405,67.45822,160.08345
63,223,159,0.24705882,0.8745098,0.62352943,156.0,0.71748877,0.8745098,156.0,0.71428573,0.56078434,0.7529412,0.1254902,0.3764706,0.71748877,0.0,0.28699553,0.1254902,0.11945051,0.66194975,0.4160099,0.34693715,0.56332934,0.41846928,0.26110318,0.42395887,0.56332934,79.802925,-73.76817,16.893682,79.802925,-57.315533,5.6874456,79.802925,57.597027,174.33307
63,223,191,0.24705882,0.8745098,0.7490196,168.0,0.71748877,0.8745098,168.0,0.71428573,0.56078434,0.7529412,0.1254902,0.2509804,0.71748877,0.0,0.14349777,0.1254902,0.10500616,0.6783969,0.58318686,0.37839344,0.5759118,0.584139,0.24595849,0.3743469,0.5759118,80.51096,-71.81682,-7.1057167,80.51096,-49.928738,-11.846924,80.51096,51.31499,193.3481
63,223,223,0.24705882,0.8745098,0.8745098,180.0,0.71748877,0.8745098,180.0,0.71428573,0.56078434,0.7529412,0.1254902,0.1254902,0.71748877,0.0,0.0,0.1254902,0.08702942,0.6988662,0.7912473,0.4175424,0.59157145,0.7903235,0.23204052,0.32875356,0.59157145,81.3779,-69.76459,-33.36752,81.3779,-41.452923,-29.249731,81.3779,50.733536,215.2073
63,223,255,0.24705882,0.8745098,1.0,190.0,0.7529412,1.0,190.0,1.0,0.62352943,0.7529412,0.1254902,0.0,0.7529412,0.1254902,0.0,0.0,0.06530883,0.72359836,1.0,0.46484452,0.6104923,1.0394481,0.219807,0.2886782,0.6104923,82.4052,-67.72304,-60.87021,82.4052,-32.104088,-46.33229,82.4052,56.36802,235.28154
